Note,Time On (s),Time Off (s)
41,55.71422999999999,56.142801
48,56.142801,56.428515
41,56.142801,56.428515
48,56.428515,56.571372
41,56.428515,56.571372
44,56.571372,56.999943
37,56.571372,56.999943
44,56.999943,57.428514
37,56.999943,57.428514
44,57.428514,57.85708499999999
37,57.428514,57.85708499999999
44,57.85708499999999,58.142799
37,57.85708499999999,58.142799
44,58.142799,58.285655999999996
37,58.142799,58.285655999999996
51,58.285655999999996,58.714226999999994
44,58.285655999999996,58.714226999999994
51,58.714226999999994,59.142798
44,58.714226999999994,59.142798
51,59.142798,59.571369
44,59.142798,59.571369
51,59.571369,59.857082999999996
44,59.571369,59.857082999999996
51,59.857082999999996,59.99994
44,59.857082999999996,59.99994
43,59.99994,60.42851099999999
36,59.99994,60.42851099999999
43,60.42851099999999,60.857082
36,60.42851099999999,60.857082
43,60.857082,61.285652999999996
36,60.857082,61.285652999999996
43,61.285652999999996,61.571367
36,61.285652999999996,61.571367
43,61.571367,61.714224
36,61.571367,61.714224
41,63.428507999999994,63.857079
48,63.428507999999994,63.857079
48,63.857079,64.142793
41,63.857079,64.142793
48,64.142793,64.28564999999999
41,64.142793,64.28564999999999
44,64.28564999999999,64.714221
37,64.28564999999999,64.714221
44,64.714221,64.999935
37,64.714221,64.999935
44,64.999935,65.142792
37,64.999935,65.142792
51,65.142792,65.571363
44,65.142792,65.571363
51,65.571363,65.85707699999999
44,65.571363,65.85707699999999
51,65.85707699999999,65.999934
44,65.85707699999999,65.999934
46,65.999934,66.428505
39,65.999934,66.428505
46,66.428505,66.714219
39,66.428505,66.714219
46,66.714219,66.85707599999999
39,66.714219,66.85707599999999
48,66.85707599999999,67.285647
41,66.85707599999999,67.285647
48,67.285647,67.571361
41,67.285647,67.571361
48,67.571361,67.714218
41,67.571361,67.714218
44,67.714218,68.142789
37,67.714218,68.142789
44,68.142789,68.42850299999999
37,68.142789,68.42850299999999
44,68.42850299999999,68.57136
37,68.42850299999999,68.57136
51,68.57136,68.99993099999999
44,68.57136,68.99993099999999
51,68.99993099999999,69.285645
44,68.99993099999999,69.285645
51,69.285645,69.428502
44,69.285645,69.428502
46,69.428502,69.857073
39,69.428502,69.857073
46,69.857073,70.142787
39,69.857073,70.142787
46,70.142787,70.285644
39,70.142787,70.285644
48,70.285644,70.714215
41,70.285644,70.714215
48,70.714215,70.999929
41,70.714215,70.999929
48,70.999929,71.142786
41,70.999929,71.142786
44,71.142786,71.57135699999999
37,71.142786,71.57135699999999
44,71.57135699999999,71.857071
37,71.57135699999999,71.857071
44,71.857071,71.999928
37,71.857071,71.999928
51,71.999928,72.428499
44,71.999928,72.428499
51,72.428499,72.714213
44,72.428499,72.714213
51,72.714213,72.85707
44,72.714213,72.85707
46,72.85707,73.285641
39,72.85707,73.285641
46,73.285641,73.571355
39,73.285641,73.571355
46,73.571355,73.71421199999999
39,73.571355,73.71421199999999
48,73.71421199999999,74.142783
41,73.71421199999999,74.142783
48,74.142783,74.428497
41,74.142783,74.428497
48,74.428497,74.571354
41,74.428497,74.571354
44,74.571354,74.999925
37,74.571354,74.999925
44,74.999925,75.28563899999999
37,74.999925,75.28563899999999
44,75.28563899999999,75.428496
37,75.28563899999999,75.428496
51,75.428496,75.857067
44,75.428496,75.857067
51,75.857067,76.142781
44,75.857067,76.142781
51,76.142781,76.28563799999999
44,76.142781,76.28563799999999
43,76.28563799999999,76.714209
36,76.28563799999999,76.714209
43,76.714209,76.999923
36,76.714209,76.999923
43,76.999923,77.14278
36,76.999923,77.14278
41,77.14278,77.57135099999999
48,77.14278,77.57135099999999
41,77.57135099999999,77.85706499999999
48,77.57135099999999,77.85706499999999
48,77.85706499999999,77.999922
41,77.85706499999999,77.999922
37,77.999922,78.42849299999999
44,77.999922,78.42849299999999
37,78.42849299999999,78.714207
44,78.42849299999999,78.714207
44,78.714207,78.857064
37,78.714207,78.857064
44,78.857064,79.285635
51,78.857064,79.285635
44,79.285635,79.571349
51,79.285635,79.571349
51,79.571349,79.714206
44,79.571349,79.714206
46,79.714206,80.142777
39,79.714206,80.142777
46,80.142777,80.428491
39,80.142777,80.428491
46,80.428491,80.571348
39,80.428491,80.571348
43,80.571348,80.99991899999999
36,80.571348,80.99991899999999
43,80.99991899999999,81.285633
36,80.99991899999999,81.285633
43,81.285633,81.42849
36,81.285633,81.42849
43,81.42849,81.857061
36,81.42849,81.857061
43,81.857061,82.142775
36,81.857061,82.142775
43,82.142775,82.28563199999999
36,82.142775,82.28563199999999
43,82.28563199999999,82.714203
36,82.28563199999999,82.714203
43,82.714203,82.999917
36,82.714203,82.999917
43,82.999917,83.14277399999999
36,82.999917,83.14277399999999
43,83.14277399999999,83.571345
36,83.14277399999999,83.571345
43,83.571345,83.85705899999999
36,83.571345,83.85705899999999
43,83.85705899999999,83.999916
36,83.85705899999999,83.999916
41,83.999916,84.428487
48,83.999916,84.428487
48,84.428487,84.71420099999999
41,84.428487,84.71420099999999
48,84.71420099999999,84.857058
41,84.71420099999999,84.857058
37,84.857058,85.285629
44,84.857058,85.285629
37,85.285629,85.571343
44,85.285629,85.571343
44,85.571343,85.7142
37,85.571343,85.7142
44,85.7142,86.142771
51,85.7142,86.142771
44,86.142771,86.42848500000001
51,86.142771,86.42848500000001
51,86.42848500000001,86.571342
44,86.42848500000001,86.571342
46,86.571342,86.99991299999999
39,86.571342,86.99991299999999
46,86.99991299999999,87.28562699999999
39,86.99991299999999,87.28562699999999
46,87.28562699999999,87.42848399999998
39,87.28562699999999,87.42848399999998
41,87.42848399999998,87.857055
48,87.42848399999998,87.857055
48,87.857055,88.14276899999999
41,87.857055,88.14276899999999
48,88.14276899999999,88.285626
41,88.14276899999999,88.285626
37,88.285626,88.714197
44,88.285626,88.714197
37,88.714197,88.999911
44,88.714197,88.999911
44,88.999911,89.14276799999999
37,88.999911,89.14276799999999
44,89.14276799999999,89.57133900000001
51,89.14276799999999,89.57133900000001
44,89.57133900000001,89.857053
51,89.57133900000001,89.857053
51,89.857053,89.99991
44,89.857053,89.99991
43,89.99991,90.42848099999999
36,89.99991,90.42848099999999
